symbol,stock_code
ACROPETAL,ACRTEC
ALFALAVAL,ALFLAV
AMAR,AMAREM
ANDHRABANK,ANDBAN
ARIHANTRED,ARITHR
BANKRAJAS,BANRAJ
BELCERAMIC,BELCER
BHARATFIN,BHAFIN
BLOWPLAST,BLOPLA
BLUEBIRD,BLUBIR
BRANDHOUSE,BRARET
GEODESIC,BVHOLD
CAPF,CAPFIR
CENTBOP,CENBN
COMPUTECH,COMINT
COREEDUTEC,COREDU
CYBERSPACE,CYBINF
CIPL,DCLPOL
DECOLIGHT,DECCER
DHANUS,DHATEC
DISHMAN,DISPHA
EDSERV,EDSERV
EICHER,EICHER
ELAND,ELAAPP
ENTEGRA,ENTLIM
ERAINFRA,ERAINF
ESTL,ESSSTE
ETC,ETCNET
FTCPOF3YDV,FTCPO2
GEINDSYS,GEIHAM
GRABALALK,GLOALO
GLORY,GLOPOL
GTOFFSHORE,GREOFF
GSLNOVA,GSLNOV
SIGROUPIND,HERCHE
HINDDORROL,HINDOR
MICRO,HININK
HINDLEVCHM,HINLC
FSS,HUGSOF
INDIABULLS,INDBUL
JSWISPAT,ISPIND
JUMBO,JUMBAG
KEMROCK,KEMIND
KESARENT,KESENT
KFA,KINAIR
KLGSYSTEL,KLGSYS
LAKSHMIMIL,LAKMIL
LITL,LANINF
MAWANA,MAWSUG
MICROTECH,MICTEC
MONSANTO,MONSIN
IOLN,NATSYN
NICCO,NICCOR
OCL,OCLIND
PAREKHPLAT,PARPLA
PARAPRINT,PARPRI
PARRYSUGAR,PARSUG
PATNI,PATCOM
PRITHVI,PRIINF
PRICOL,PRILIM
RAINCALCIN,RAICAL
RENVL,RELENE
RELGOLD,RELGOL
RNRL,RELNAT
RPL,RELPET
ORGINFO,SARELE
SCINTSOFT,SCISOF
SHPRE,SHPREC
SILTAPCHEM,SILCHE
SREINFRA,SREINF
SORILINFRA,STOONE
TECPRO,TECSYS
TREADS,TRELIM
TRICOM,TRIFI
TV-18,TV18
TWILITAKA,TWILIT
USHERAGRO,USHAGR
